Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q02QG7	FABH_PSEAB	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH PA14_20950	Pseudomonas aeruginosa (strain UCBPP-PA14)	330
O33877	FABA_PSEAE	reviewed	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)	fabA PA1610	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	171
B6IMR5	FABH_RHOCS	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH RC1_1327	Rhodospirillum centenum (strain ATCC 51521 / SW)	323
A3PJ64	FABH_RHOS1	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH Rsph17029_1270	Rhodobacter sphaeroides (strain ATCC 17029 / ATH 2.4.9)	323
Q1RKB7	FABG_RICBR	reviewed	3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase)	fabG RBE_0116	Rickettsia bellii (strain RML369-C)	241
B5FQZ7	FABA_SALDC	reviewed	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)	fabA SeD_A1142	Salmonella dublin (strain CT_02021853)	172
P99093	FABG_STAAN	reviewed	3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase)	fabG SA1074	Staphylococcus aureus (strain N315)	246
A5UWI7	FABH_ROSS1	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH RoseRS_2614	Roseiflexus sp. (strain RS-1)	329
Q8CPI3	FABG_STAES	reviewed	3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase)	fabG SE_0906	Staphylococcus epidermidis (strain ATCC 12228)	244
Q9JN82	FABH5_STRCO	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 5 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III protein 5) (Beta-ketoacyl-ACP synthase III 5) (KAS III 5)	fabH5 mmyC SCP1.233.2 SCP1.233B	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	332
Q2FZS0	FABH_STAA8	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH SAOUHSC_00920	Staphylococcus aureus (strain NCTC 8325)	313
P0A6Q5	FABA_SHIFL	reviewed	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)	fabA SF0954 S1020	Shigella flexneri	172
Q2FI93	FABH_STAA3	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH SAUSA300_0885	Staphylococcus aureus (strain USA300)	313
B4SIF4	FABA_STRM5	reviewed	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)	fabA Smal_0454	Stenotrophomonas maltophilia (strain R551-3)	171
Q8NXE2	FABH_STAAW	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH MW0865	Staphylococcus aureus (strain MW2)	313
B9JV87	FABH_AGRVS	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH Avi_1630	Agrobacterium vitis (strain S4 / ATCC BAA-846) (Rhizobium vitis (strain S4))	323
A7FH28	ACP_YERP3	reviewed	Acyl carrier protein (ACP)	acpP YpsIP31758_1579	Yersinia pseudotuberculosis serotype O:1b (strain IP 31758)	78
Q2YQW8	ACCD_BRUA2	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD BAB1_2109	Brucella abortus (strain 2308)	301
A9BNK3	ACP_DELAS	reviewed	Acyl carrier protein (ACP)	acpP Daci_5269	Delftia acidovorans (strain DSM 14801 / SPH-1)	79
Q4QJY5	ACCD_HAEI8	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD NTHI1904	Haemophilus influenzae (strain 86-028NP)	296
Q4UK61	ACP_RICFE	reviewed	Acyl carrier protein (ACP)	acpP RF_1223	Rickettsia felis (strain ATCC VR-1525 / URRWXCal2) (Rickettsia azadi)	86
A3PIR9	ACP_RHOS1	reviewed	Acyl carrier protein (ACP)	acpP Rsph17029_1125	Rhodobacter sphaeroides (strain ATCC 17029 / ATH 2.4.9)	77
A8EZW3	ACP_RICCK	reviewed	Acyl carrier protein (ACP)	acpP A1E_04875	Rickettsia canadensis (strain McKiel)	86
Q5HF73	ACCD_STAAC	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD SACOL1748	Staphylococcus aureus (strain COL)	285
B2GFZ6	ACP_KOCRD	reviewed	Acyl carrier protein (ACP)	acpP KRH_10770	Kocuria rhizophila (strain ATCC 9341 / DSM 348 / NBRC 103217 / DC2201)	81
Q1GHT1	ACP_RUEST	reviewed	Acyl carrier protein (ACP)	acpP TM1040_1052	Ruegeria sp. (strain TM1040) (Silicibacter sp.)	77
P9WQH9	ACCD_MYCTU	reviewed	Putative acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase beta chain) (EC 6.4.1.2)	accD3 Rv0904c MTCY31.32c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	495
Q6MEK6	ACCD_PARUW	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD pc0269	Protochlamydia amoebophila (strain UWE25)	305
P0CC08	ACCD_STRPN	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD SP_0426	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	288
C5VZW3	ACCD_STRSE	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD SSU1598	Streptococcus suis (strain P1/7)	288
B2RLH9	ACP_PORG3	reviewed	Acyl carrier protein (ACP)	acpP PGN_1705	Porphyromonas gingivalis (strain ATCC 33277 / DSM 20709 / CIP 103683 / JCM 12257 / NCTC 11834 / 2561)	78
Q2NS17	ACPS_SODGM	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS SG1783	Sodalis glossinidius (strain morsitans)	126
A9MJ59	ACCD_SALAR	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD SARI_00533	Salmonella arizonae (strain ATCC BAA-731 / CDC346-86 / RSK2980)	304
B3EER8	ACCA_CHLL2	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA Clim_0202	Chlorobium limicola (strain DSM 245 / NBRC 103803 / 6330)	333
A4VXE0	ACPS_STRSY	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS SSU05_1813	Streptococcus suis (strain 05ZYH33)	119
B2HPL7	ACPS_MYCMM	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS MMAR_3961	Mycobacterium marinum (strain ATCC BAA-535 / M)	130
B1XK66	ACCA_SYNP2	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA SYNPCC7002_A2443	Synechococcus sp. (strain ATCC 27264 / PCC 7002 / PR-6) (Agmenellum quadruplicatum)	325
Q1D4A0	ACPS_MYXXD	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS MXAN_4350	Myxococcus xanthus (strain DK 1622)	126
P9WQF2	ACPM_MYCTO	reviewed	Meromycolate extension acyl carrier protein (ACP)	acpM MT2304	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	115
B2JZ18	ACCA_YERPB	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA YPTS_3107	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	319
B6JGF9	ACPS_OLICO	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS OCAR_5840 OCA5_c21770	Oligotropha carboxidovorans (strain ATCC 49405 / DSM 1227 / KCTC 32145 / OM5)	137
A8A373	ACPS_ECOHS	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS EcHS_A2718	Escherichia coli O9:H4 (strain HS)	126
B6I5D7	ACPS_ECOSE	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS ECSE_2851	Escherichia coli (strain SE11)	126
Q04U76	ACPS_LEPBJ	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS LBJ_0900	Leptospira borgpetersenii serovar Hardjo-bovis (strain JB197)	124
Q053N9	ACPS_LEPBL	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS LBL_0915	Leptospira borgpetersenii serovar Hardjo-bovis (strain L550)	124
B2K3Q1	FADR_YERPB	reviewed	Fatty acid metabolism regulator protein	fadR YPTS_2134	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	239
Q1I7M6	FABA_PSEE4	reviewed	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)	fabA PSEEN3622	Pseudomonas entomophila (strain L48)	171
B7UFZ8	FADJ_ECO27	reviewed	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadJ E2348C_2480	Escherichia coli O127:H6 (strain E2348/69 / EPEC)	714
B7MGV7	FADJ_ECO45	reviewed	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadJ ECS88_2488	Escherichia coli O45:K1 (strain S88 / ExPEC)	714
B5R3R9	FADJ_SALEP	reviewed	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadJ SEN2370	Salmonella enteritidis PT4 (strain P125109)	715
O67505	FABI_AQUAE	reviewed	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI (ENR) (EC 1.3.1.9) (NADH-dependent enoyl-ACP reductase)	fabI aq_1552	Aquifex aeolicus (strain VF5)	270
O84242	FABH_CHLTR	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH CT_239	Chlamydia trachomatis (strain D/UW-3/Cx)	327
O53521	FAC15_MYCTU	reviewed	Long-chain-fatty-acid--CoA ligase FadD15 (FACL) (EC 6.2.1.3) (Acyl-CoA synthetase)	fadD15 Rv2187	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	600
Q820T1	FABH_ENTFA	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH EF_2885	Enterococcus faecalis (strain ATCC 700802 / V583)	321
P59813	FABH_HELHP	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH HH_0681	Helicobacter hepaticus (strain ATCC 51449 / 3B1)	332
A1KRY9	FABH_NEIMF	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH NMC0307	Neisseria meningitidis serogroup C / serotype 2a (strain ATCC 700532 / DSM 15464 / FAM18)	320
Q6G9Y3	FABD_STAAS	reviewed	Malonyl CoA-acyl carrier protein transacylase (MCT) (EC 2.3.1.39)	fabD SAS1164	Staphylococcus aureus (strain MSSA476)	308
Q4QKK1	FABA_HAEI8	reviewed	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)	fabA NTHI1649	Haemophilus influenzae (strain 86-028NP)	177
Q7A124	FABD_STAAW	reviewed	Malonyl CoA-acyl carrier protein transacylase (MCT) (EC 2.3.1.39)	fabD MW1113	Staphylococcus aureus (strain MW2)	308
B2JFI9	FABH_PARP8	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH Bphy_0828	Paraburkholderia phymatum (strain DSM 17167 / CIP 108236 / LMG 21445 / STM815) (Burkholderia phymatum)	329
Q3SWN9	FABA_NITWN	reviewed	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)	fabA Nwi_0034	Nitrobacter winogradskyi (strain ATCC 25391 / DSM 10237 / CIP 104748 / NCIMB 11846 / Nb-255)	174
B2RH63	FABH_PORG3	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH PGN_0189	Porphyromonas gingivalis (strain ATCC 33277 / DSM 20709 / CIP 103683 / JCM 12257 / NCTC 11834 / 2561)	335
Q46HN8	FABH_PROMT	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH PMN2A_1502	Prochlorococcus marinus (strain NATL2A)	338
Q92QT4	FABH_RHIME	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH R01223 SMc01785	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	323
Q9PKF7	FABG_CHLMU	reviewed	3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase)	fabG TC_0508	Chlamydia muridarum (strain MoPn / Nigg)	248
B1JAU1	FABA_PSEPW	reviewed	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)	fabA PputW619_3497	Pseudomonas putida (strain W619)	171
Q9ZCH1	FABH_RICPR	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH RP772	Rickettsia prowazekii (strain Madrid E)	317
Q9X248	FABG_THEMA	reviewed	3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase)	fabG TM_1724	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	246
Q5LQJ5	FABH_RUEPO	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH SPO2494	Ruegeria pomeroyi (strain ATCC 700808 / DSM 15171 / DSS-3) (Silicibacter pomeroyi)	323
Q9KQH7	FABG_VIBCH	reviewed	3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase)	fabG VC_2021	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	244
Q87N20	FABH1_VIBPA	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 1 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III protein 1) (Beta-ketoacyl-ACP synthase III 1) (KAS III 1)	fabH1 VP2056	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	316
Q9K8W9	FABH1_BACHD	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 1 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III protein 1) (Beta-ketoacyl-ACP synthase III 1) (KAS III 1)	fabH1 BH2883	Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125)	312
Q7M7I3	FABH2_VIBVY	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 2 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III protein 2) (Beta-ketoacyl-ACP synthase III 2) (KAS III 2)	fabH2 VVA0906	Vibrio vulnificus (strain YJ016)	362
A3QDY5	FABA_SHELP	reviewed	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)	fabA Shew_1817	Shewanella loihica (strain ATCC BAA-1088 / PV-4)	171
Q8ZFT4	ACP_YERPE	reviewed	Acyl carrier protein (ACP)	acpP YPO1600 y1759 YP_2254	Yersinia pestis	78
Q636H6	ACP_BACCZ	reviewed	Acyl carrier protein (ACP)	acpP acpA BCE33L3609	Bacillus cereus (strain ZK / E33L)	77
A5N4F0	ACCD_CLOK5	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD CKL_0111	Clostridium kluyveri (strain ATCC 8527 / DSM 555 / NCIMB 10680)	291
Q5HW23	ACP_CAMJR	reviewed	Acyl carrier protein (ACP)	acpP CJE0493	Campylobacter jejuni (strain RM1221)	77
Q46IK3	ACP_PROMT	reviewed	Acyl carrier protein (ACP)	acpP PMN2A_1185	Prochlorococcus marinus (strain NATL2A)	80
Q8EXX4	ACP_LEPIN	reviewed	Acyl carrier protein (ACP)	acpP LB_083	Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601)	77
Q3A6L1	ACCD_PELCD	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD Pcar_0737	Pelobacter carbinolicus (strain DSM 2380 / NBRC 103641 / GraBd1)	282
Q2P0U4	ACCD_XANOM	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD XOO3078	Xanthomonas oryzae pv. oryzae (strain MAFF 311018)	295
Q2RGI1	ACPS_MOOTA	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Moth_2169	Moorella thermoacetica (strain ATCC 39073 / JCM 9320)	128
Q8ESK9	ACPS_OCEIH	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS OB0619	Oceanobacillus iheyensis (strain DSM 14371 / CIP 107618 / JCM 11309 / KCTC 3954 / HTE831)	119
B7I6A3	ACCA_ACIB5	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA AB57_0711	Acinetobacter baumannii (strain AB0057)	273
B2VHY2	ACCA_ERWT9	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA ETA_09060	Erwinia tasmaniensis (strain DSM 17950 / CIP 109463 / Et1/99)	319
Q7TTY7	ACCA_RHOBA	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA RB8310	Rhodopirellula baltica (strain DSM 10527 / NCIMB 13988 / SH1)	319
Q92DD0	ACPS_LISIN	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS lin0884	Listeria innocua serovar 6a (strain ATCC BAA-680 / CLIP 11262)	118
P94548	FADR_BACSU	reviewed	Fatty acid metabolism regulator protein	fadR ysiA BSU28550	Bacillus subtilis (strain 168)	194
B5BJN7	FABR_SALPK	reviewed	HTH-type transcriptional repressor FabR	fabR SSPA3690	Salmonella paratyphi A (strain AKU_12601)	210
A1S7L7	FADI_SHEAM	reviewed	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	fadI Sama_2168	Shewanella amazonensis (strain ATCC BAA-1098 / SB2B)	436
Q68WH7	FAD3_RICTY	reviewed	Putative fatty acid oxidation complex trifunctional enzyme [Includes: 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35); Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase (EC 4.2.1.17) (EC 5.3.3.8)]	RT0547	Rickettsia typhi (strain ATCC VR-144 / Wilmington)	720
Q0SY28	FABR_SHIF8	reviewed	HTH-type transcriptional repressor FabR	fabR SFV_4036	Shigella flexneri serotype 5b (strain 8401)	215
Q9CPJ0	FADR_PASMU	reviewed	Fatty acid metabolism regulator protein	fadR PM0048	Pasteurella multocida (strain Pm70)	241
Q3YV13	FABR_SHISS	reviewed	HTH-type transcriptional repressor FabR	fabR SSON_4136	Shigella sonnei (strain Ss046)	215
B5FTM9	FADR_SALDC	reviewed	Fatty acid metabolism regulator protein	fadR SeD_A1513	Salmonella dublin (strain CT_02021853)	239
A1JK23	FADI_YERE8	reviewed	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	fadI YE1276	Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081)	436
Q8ZP15	FADR_SALTY	reviewed	Fatty acid metabolism regulator protein	fadR STM1805	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	239
Q8FBI3	FADA_ECOL6	reviewed	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	fadA c4792	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	387
A6LV73	FABV_CLOB8	reviewed	Trans-2-enoyl-CoA reductase [NADH] (TER) (EC 1.3.1.44)	fabV Cbei_2086	Clostridium beijerinckii (strain ATCC 51743 / NCIMB 8052) (Clostridium acetobutylicum)	398
